Time; Temperature; Luminosity 
114.104; 25.75; 413.3333
114.283; 25.75; 426.6666
114.462; 25.75; 420.0
114.641; 25.75; 420.0
114.82; 25.75; 420.0
114.998; 25.75; 420.0
115.177; 0.0; 413.3333
115.356; 25.75; 420.0
115.535; 25.75; 420.0
115.719; 25.75; 420.0
115.898; 25.75; 420.0
116.077; 25.75; 420.0
116.256; 25.75; 420.0
116.435; 25.75; 420.0
116.614; 25.75; 420.0
116.793; 25.75; 420.0
116.972; 25.75; 420.0
117.155; 25.75; 420.0
117.335; 25.75; 286.6667
117.514; 25.75; 313.3333
117.693; 25.75; 386.6667
117.872; 25.75; 413.3333
118.051; 25.75; 413.3333
118.23; 25.75; 413.3333
118.409; 25.75; 413.3333
118.588; 25.75; 420.0
118.767; 25.75; 413.3333
118.946; 25.75; 420.0
119.125; 25.75; 413.3333
119.304; 25.75; 406.6667
119.483; 25.75; 406.6667
119.667; 25.75; 413.3333
119.846; 25.75; 413.3333
120.025; 25.75; 406.6667
120.204; 25.75; 413.3333
120.383; 25.75; 413.3333
120.562; 25.75; 406.6667
120.741; 25.75; 413.3333
120.92; 25.75; 413.3333
121.099; 25.75; 413.3333
121.278; 25.75; 406.6667
121.457; 25.75; 413.3333
121.636; 25.5; 406.6667
121.815; 25.75; 413.3333
121.994; 25.5; 413.3333
122.173; 25.75; 400.0
122.352; 25.5; 413.3333
122.531; 25.5; 420.0
122.709; 25.5; 420.0
122.892; 0.0; 413.3333
123.071; 25.75; 420.0
123.25; 25.75; 406.6667
123.434; 25.75; 413.3333
123.614; 25.75; 413.3333
123.794; 25.75; 420.0
123.974; 25.75; 420.0
124.154; 25.75; 413.3333
124.334; 25.75; 413.3333
124.513; 25.75; 420.0
124.693; 25.75; 413.3333
124.873; 25.75; 413.3333
125.053; 25.75; 420.0
125.233; 25.75; 420.0
125.412; 25.75; 413.3333
125.591; 25.75; 420.0
125.77; 25.75; 420.0
125.953; 25.75; 413.3333
126.132; 25.75; 413.3333
126.311; 25.75; 413.3333
126.491; 25.75; 420.0
126.67; 25.75; 413.3333
126.85; 0.0; 420.0
127.029; 25.75; 420.0
127.209; 25.75; 413.3333
127.393; 25.75; 413.3333
127.573; 25.75; 420.0
127.752; 25.75; 420.0
127.931; 25.75; 413.3333
128.114; 25.75; 413.3333
128.295; 25.75; 420.0
128.475; 25.75; 413.3333
128.655; 25.75; 413.3333
128.835; 25.75; 420.0
129.015; 25.75; 420.0
129.195; 25.75; 413.3333
129.375; 25.75; 413.3333
129.555; 25.75; 420.0
129.734; 25.75; 413.3333
129.914; 25.75; 413.3333
130.093; 25.75; 420.0
130.273; 25.75; 420.0
130.453; 25.75; 413.3333
130.633; 25.75; 413.3333
130.812; 25.75; 420.0
130.992; 25.75; 413.3333
131.172; 25.75; 413.3333
131.356; 25.75; 420.0
131.535; 25.75; 420.0
131.714; 25.75; 420.0
131.893; 25.75; 413.3333
132.072; 25.75; 420.0
132.251; 25.75; 413.3333
132.43; 25.75; 413.3333
132.609; 25.75; 420.0
132.788; 25.75; 420.0
132.967; 25.75; 413.3333
133.146; 25.75; 420.0
133.325; 25.75; 420.0
133.504; 25.75; 413.3333
133.683; 25.5; 413.3333
133.865; 25.75; 413.3333
134.044; 25.5; 420.0
134.223; 25.5; 413.3333
134.402; 25.75; 420.0
134.581; 25.5; 413.3333
134.76; 25.5; 413.3333
134.939; 25.5; 413.3333
135.118; 25.75; 420.0
135.302; 25.5; 420.0
135.48; 25.5; 413.3333
135.659; 0.0; 420.0
135.837; 25.75; 413.3333
136.016; 25.75; 413.3333
136.195; 25.75; 413.3333
136.374; 25.75; 420.0
136.553; 25.75; 413.3333
136.732; 25.75; 420.0
136.911; 25.75; 420.0
137.092; 25.75; 420.0
137.271; 25.75; 413.3333
137.45; 25.75; 420.0
137.629; 25.75; 420.0
137.808; 25.75; 413.3333
137.987; 25.75; 420.0
138.166; 25.75; 420.0
138.345; 25.75; 413.3333
138.524; 25.75; 413.3333
138.703; 25.75; 420.0
138.882; 25.75; 413.3333
139.061; 25.75; 413.3333
139.245; 25.75; 420.0
139.428; 25.75; 420.0
139.607; 25.75; 420.0
139.786; 25.75; 413.3333
139.965; 25.75; 420.0
140.144; 25.75; 413.3333
140.323; 25.75; 413.3333
140.502; 25.75; 420.0
140.681; 25.75; 420.0
140.86; 25.75; 413.3333
141.039; 25.75; 420.0
141.218; 25.75; 420.0
141.397; 25.75; 413.3333
141.576; 25.75; 413.3333
141.755; 25.75; 420.0
141.934; 25.75; 413.3333
142.113; 25.5; 413.3333
142.292; 25.75; 420.0
142.471; 25.5; 413.3333
142.65; 25.75; 413.3333
142.829; 25.5; 413.3333
143.008; 25.5; 420.0
143.192; 25.5; 413.3333
143.371; 25.5; 413.3333
143.55; 25.5; 420.0
143.728; 25.5; 413.3333
143.907; 25.5; 413.3333
144.086; 25.5; 420.0
144.264; 25.5; 420.0
144.442; 0.0; 413.3333
